mf920922-083-p1s1: ([3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0], 0)
mf920922-083-p1s2: ([28, 3, 0, 1, 0, 0, 2, 0, 0, 13, 1, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 1, 1, 2, 0, 0, 0, 0, 3, 0, 0, 1, 3], 2)
mf920922-083-p1s3: ([19, 3, 0, 2, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 4, 0, 1, 1, 3], 1)
mf920922-083-p1s4: ([7, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0], 0)
mf920922-083-p1s5: ([17, 1, 0, 0, 0, 0, 1, 0, 0, 5, 0, 0, 0, 1, 0, 0, 2, 1, 0, 5, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1], 0)
mf920922-083-p1s6: ([23, 2, 0, 1, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 2, 1, 0, 3, 0, 0, 1, 1, 1, 0, 0, 0, 3, 0, 1, 1, 2], 1)
mf920922-083-p1s7: ([16, 3, 0, 1, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 0, 1, 1, 2], 3)
mf920922-083-p1s8: ([12, 2, 0, 0, 0, 0, 3, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 1, 0, 2, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0], 1)
mf920922-083-p1s9: ([18, 1, 0, 0, 0, 0, 1, 0, 0, 5, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 0, 1, 2, 0, 0, 1, 3, 2, 0, 0, 1, 1], 2)
mf920922-083-p1s10: ([17, 2, 0, 0, 0, 0, 2, 0, 0, 5, 0, 0, 0, 0, 0, 1, 2, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 3, 0, 0, 1, 2], 1)
mf920922-083-p1s11: ([22, 4, 0, 1, 0, 0, 5, 0, 1, 4, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 3, 1, 1, 1, 0, 1, 0, 1, 1, 4], 3)
