ln95045-056-p1s1
1	Krátce	Dg-------1A----	ExD

ln95045-056-p2s1
1	Návrhy	NNIP1-----A----	Sb
2	britského	AAMS2----1A----	Atr
3	premiéra	NNMS2-----A----	Atr
4	J	NNMXX-----A---8	Atr
5	.	Z:-------------	AuxG
6	Majora	NNMS2-----A----	Atr
7	a	J^-------------	Coord
8	jeho	PSXXXZS3-------	Atr
9	irského	AAMS2----1A----	Atr
10	partnera	NNMS2-----A----	Atr
11	J	NNMXX-----A---8	Atr
12	.	Z:-------------	AuxG
13	Burtona	NNMS2-----A----	Atr
14	na	RR--4----------	AuxP
15	budoucí	AANS4----1A----	Atr
16	uspořádání	NNNS4-----A----	Atr
17	Severního	AANS2----1A----	Atr
18	Irska	NNNS2-----A----	Atr
19	získaly	VpTP---XR-AA---	Pred
20	včera	Db-------------	Adv
21	podporu	NNFS4-----A----	Obj
22	britské	AAFS2----1A----	Atr
23	vlády	NNFS2-----A----	Atr
24	.	Z:-------------	AuxK

ln95045-056-p2s2
1	Dokument	NNIS1-----A----	Sb
2	se	P7-X4----------	AuxT
3	stane	VB-S---3P-AA---	Pred
4	v	RR--6----------	AuxP
5	příštích	AAIP6----1A----	Atr
6	týdnech	NNIP6-----A----	Adv
7	předmětem	NNIS7-----A----	Obj
8	diskusí	NNFP2-----A----	Atr
9	konstitučních	AAFP2----1A----	Atr
10	severoirských	AAFP2----1A----	Atr
11	politických	AAFP2----1A----	Atr
12	stran	NNFP2-----A----	Atr
13	.	Z:-------------	AuxK

ln95045-056-p3s1
1	Dvěma	ClXP7----------	Atr
2	hlavními	AAIP7----1A----	Atr
3	cíli	NNIP7-----A----	Pnom
4	české	AAFS2----1A----	Atr
5	zahraniční	AAFS2----1A----	Atr
6	politiky	NNFS2-----A----	Atr
7	jsou	VB-P---3P-AA---	Obj
8	členství	NNNS1-----A----	Sb
9	v	RR--6----------	AuxP
10	Evropské	AAFS6----1A----	Atr
11	unii	NNFS6-----A----	Atr
12	a	J^-------------	Coord
13	Severoatlantické	AAFS6----1A----	Atr
14	alianci	NNFS6-----A----	Atr
15	,	Z:-------------	AuxX
16	řekl	VpYS---XR-AA---	Pred
17	včera	Db-------------	Adv
18	český	AAMS1----1A----	Atr
19	ministr	NNMS1-----A----	Atr
20	zahraničí	NNNS2-----A----	Atr
21	Josef	NNMS1-----A----	Atr
22	Zieleniec	NNMS1-----A----	Sb
23	ve	RV--6----------	AuxP
24	výboru	NNIS6-----A----	Adv
25	pro	RR--4----------	AuxP
26	zahraniční	AAFP4----1A----	Atr
27	věci	NNFP4-----A----	Atr
28	a	J^-------------	Coord
29	zahraniční	AAIS4----1A----	Atr
30	obchod	NNIS4-----A----	Atr
31	Poslanecké	AAFS2----1A----	Atr
32	sněmovny	NNFS2-----A----	Atr
33	kanadského	AAIS2----1A----	Atr
34	parlamentu	NNIS2-----A----	Atr
35	.	Z:-------------	AuxK

ln95045-056-p4s1
1	Dohodu	NNFS4-----A----	Obj
2	o	RR--6----------	AuxP
3	zastavení	NNNS6-----A----	Atr
4	palby	NNFS2-----A----	Atr
5	porušil	VpYS---XR-AA---	Pred
6	další	AAIS1----1A----	Atr
7	ozbrojený	AAIS1----1A----	Atr
8	konflikt	NNIS1-----A----	Sb
9	mezi	RR--7----------	AuxP
10	armádou	NNFS7-----A----	Atr
11	a	J^-------------	Coord
12	povstaleckou	AAFS7----1A----	Atr
13	organizací	NNFS7-----A----	Atr
14	UNITA	NNFXX-----A---8	Atr
15	,	Z:-------------	AuxX
16	ke	RV--3----------	AuxP
17	kterému	P4ZS3----------	Obj
18	došlo	VpNS---XR-AA---	Atr
19	u	RR--2----------	AuxP
20	severoangolského	AANS2----1A----	Atr
21	města	NNNS2-----A----	Adv
22	Uige	NNXXX-----A----	Atr
23	.	Z:-------------	AuxK

ln95045-056-p5s1
1	Irácká	AAFS1----1A----	Atr
2	vláda	NNFS1-----A----	Sb
3	nadále	Db-------------	Adv
4	v	RR--6----------	AuxP
5	"	Z:-------------	AuxG
6	děsivé	AAFS6----1A----	Atr
7	"	Z:-------------	AuxG
8	míře	NNFS6-----A----	Adv
9	a	J^-------------	Coord
10	"	Z:-------------	AuxG
11	bez	RR--2----------	AuxP
12	jakýchkoli	PZXP2---------1	Atr
13	známek	NNFP2-----A----	Adv
14	zlepšení	NNNS2-----A----	Atr
15	"	Z:-------------	AuxG
16	pošlapává	VB-S---3P-AA---	Obj
17	lidská	AANP4----1A----	Atr
18	práva	NNNP4-----A----	Obj
19	,	Z:-------------	AuxX
20	konstatuje	VB-S---3P-AA---	Pred
21	zvláštní	AAMS1----1A----	Atr
22	zpravodaj	NNMS1-----A----	Atr
23	OSN	NNFXX-----A---8	Atr
24	pro	RR--4----------	AuxP
25	Irák	NNIS4-----A----	Atr
26	Max	NNMS1-----A----	Atr
27	van	RR--X----------	Atr
28	der	AAXXX----1A----	Atr
29	Stoel	NNMS1-----A----	Sb
30	ve	RV--6----------	AuxP
31	zprávě	NNFS6-----A----	Adv
32	,	Z:-------------	AuxX
33	která	P4FS1----------	Sb
34	byla	VpQW---XR-AA---	AuxV
35	včera	Db-------------	Adv
36	zveřejněna	VsQW---XX-AP---	Atr
37	v	RR--6----------	AuxP
38	ženevském	AANS6----1A----	Atr
39	sídle	NNNS6-----A----	Adv
40	OSN	NNFXX-----A---8	Atr
41	.	Z:-------------	AuxK

ln95045-056-p6s1
1	Zatím	Db-------------	Adv
2	nelze	VB-S---3P-NA---	Obj
3	říci	Vf--------A---1	Sb
4	,	Z:-------------	AuxX
5	kdy	Db-------------	Adv
6	bude	VB-S---3F-AA---	AuxV
7	sestavena	VsQW---XX-AP---	Obj
8	nová	AAFS1----1A----	Atr
9	polská	AAFS1----1A----	Atr
10	vláda	NNFS1-----A----	Sb
11	,	Z:-------------	AuxX
12	řekl	VpYS---XR-AA---	Pred
13	po	RR--6----------	AuxP
14	setkání	NNNS6-----A----	Adv
15	představitelů	NNMP2-----A----	Atr
16	polské	AAFS2----1A----	Atr
17	vládní	AAFS2----1A----	Atr
18	koalice	NNFS2-----A----	Atr
19	,	Z:-------------	AuxX
20	Polské	AAFS2----1A----	Atr
21	lidové	AAFS2----1A----	Atr
22	strany	NNFS2-----A----	Atr
23	a	J^-------------	Coord
24	Svazu	NNIS2-----A----	Atr
25	demokratické	AAFS2----1A----	Atr
26	levice	NNFS2-----A----	Atr
27	koaliční	AAMS1----1A----	Atr
28	kandidát	NNMS1-----A----	Atr
29	na	RR--4----------	AuxP
30	křeslo	NNNS4-----A----	Atr
31	premiéra	NNMS2-----A----	Atr
32	,	Z:-------------	Coord
33	maršálek	NNMS1-----A----	Atr
34	Sejmu	NNIS2-----A----	Atr
35	J	NNMXX-----A---8	Atr
36	.	Z:-------------	AuxG
37	Oleksy	NNMS1-----A----	Sb
38	.	Z:-------------	AuxK

ln95045-056-p7s1
1	Ruský	AAMS1----1A----	Atr
2	prezident	NNMS1-----A----	Atr
3	B	NNMXX-----A---8	Atr
4	.	Z:-------------	AuxG
5	Jelcin	NNMS1-----A----	Sb
6	při	RR--6----------	AuxP
7	včerejší	AAFS6----1A----	Atr
8	návštěvě	NNFS6-----A----	Adv
9	Běloruska	NNNS2-----A----	Atr
10	řekl	VpYS---XR-AA---	Pred
11	,	Z:-------------	AuxX
12	že	J,-------------	AuxC
13	americký	AAMS1----1A----	Atr
14	prezident	NNMS1-----A----	Atr
15	B	NNMXX-----A---8	Atr
16	.	Z:-------------	AuxG
17	Clinton	NNMS1-----A----	Sb
18	přijede	VB-S---3P-AA---	Obj
19	letos	Db-------------	Adv
20	do	RR--2----------	AuxP
21	Moskvy	NNFS2-----A----	Adv
22	k	RR--3----------	AuxP
23	jednání	NNNS3-----A----	Adv
24	o	RR--6----------	AuxP
25	dalším	AANS6----1A----	Atr
26	omezení	NNNS6-----A----	Atr
27	jaderných	AAFP2----1A----	Atr
28	zbraní	NNFP2-----A----	Atr
29	.	Z:-------------	AuxK

ln95045-056-p7s2
1	Datum	NNNS4-----A----	Obj
2	Clintonovy	AUFS2M---------	Atr
3	návštěvy	NNFS2-----A----	Atr
4	neupřesnil	VpYS---XR-NA---	Pred
5	.	Z:-------------	AuxK

ln95045-056-p7s3
1	Uvedl	VpYS---XR-AA---	Pred
2	jen	TT-------------	AuxZ
3	,	Z:-------------	AuxX
4	že	J,-------------	AuxC
5	spolu	Db-------------	Adv
6	budou	VB-P---3F-AA---	AuxV
7	jednat	Vf--------A----	Obj
8	o	RR--6----------	AuxP
9	dohodě	NNFS6-----A----	Obj
10	START	NNIXX-----A---8	Atr
11	-	Z:-------------	AuxG
12	3	C=-------------	Atr
13	.	Z:-------------	AuxK

ln95045-056-p8s1
1	Vůdce	NNMS1-----A----	Atr
2	jihoafrických	AAMP2----1A----	Atr
3	Zulů	NNMP2-----A----	Atr
4	Mangosuthu	NNMS1-----A----	Atr
5	Buthelezi	NNMS1-----A----	Sb
6	oznámil	VpYS---XR-AA---	Pred
7	,	Z:-------------	AuxX
8	že	J,-------------	AuxC
9	jeho	PSXXXZS3-------	Atr
10	strana	NNFS1-----A----	Sb
11	Inkatha	NNFS1-----A----	Atr
12	zahajuje	VB-S---3P-AA---	Obj
13	dvoutýdenní	AAIS4----1A----	Atr
14	bojkot	NNIS4-----A----	Obj
15	činnosti	NNFS2-----A----	Atr
16	mnohorasového	AAIS2----1A----	Atr
17	parlamentu	NNIS2-----A----	Atr
18	.	Z:-------------	AuxK

ln95045-056-p8s2
1	O	RR--6----------	AuxP
2	dalším	AANS6----1A----	Obj
3	rozhodne	VB-S---3P-AA---	Pred
4	na	RR--6----------	AuxP
5	svém	P8ZS6----------	Atr
6	plánovaném	AAIS6----1A----	Atr
7	sjezdu	NNIS6-----A---1	Adv
8	.	Z:-------------	AuxK

ln95045-056-p9s1
1	Dvouhodinová	AAFS1----1A----	Atr
2	stávka	NNFS1-----A----	Sb
3	pracovníků	NNMP2-----A----	Atr
4	kontrolních	AAFP2----1A----	Atr
5	věží	NNFP2-----A----	Atr
6	včera	Db-------------	Adv
7	na	RR--4----------	AuxP
8	dvě	ClHP4----------	Atr
9	hodiny	NNFP4-----A----	Adv
10	zcela	Db-------------	Adv
11	paralyzovala	VpQW---XR-AA---	Pred
12	leteckou	AAFS4----1A----	Atr
13	dopravu	NNFS4-----A----	Obj
14	nad	RR--7----------	AuxP
15	Belgií	NNFS7-----A----	AtrAdv
16	.	Z:-------------	AuxK

ln95045-056-p9s2
1	Podnětem	NNIS7-----A----	Pnom
2	ke	RV--3----------	AuxP
3	stávce	NNFS3-----A----	Atr
4	byly	VpTP---XR-AA---	Pred
5	především	Db-------------	AuxZ
6	neúnosné	AAFP1----1N----	Atr
7	pracovní	AAFP1----1A----	Atr
8	podmínky	NNFP1-----A----	Sb
9	;	Z:-------------	AuxK

ln95045-056-p9s3
1	stávkující	AGMP1-----A----	Sb
2	rovněž	Db-------------	Adv
3	předložili	VpMP---XR-AA---	Pred
4	požadavky	NNIP4-----A----	Obj
5	spojené	AAIP4----1A----	Atr
6	se	RV--7----------	AuxP
7	zlepšením	NNNS7-----A----	Obj
8	situace	NNFS2-----A----	Atr
9	kolem	RR--2----------	AuxP
10	odchodu	NNIS2-----A----	Atr
11	do	RR--2----------	AuxP
12	důchodu	NNIS2-----A----	Atr
13	a	J^-------------	Coord
14	se	RV--7----------	AuxP
15	zvýšením	NNNS7-----A----	Obj
16	penzijních	AAIP2----1A----	Atr
17	příjmů	NNIP2-----A----	Atr
18	.	Z:-------------	AuxK

