ln95046-057-p1s1
1	Krátce	Dg-------1A----	ExD

ln95046-057-p2s1
1	Podle	RR--2----------	AuxP
2	názoru	NNIS2-----A----	Adv
3	německého	AAMS2----1A----	Atr
4	ministra	NNMS2-----A----	Atr
5	obrany	NNFS2-----A----	Atr
6	Volkera	NNMS2-----A----	Atr
7	Rüheho	NNMS2-----A----	Atr
8	se	P7-X4----------	AuxT
9	bude	VB-S---3F-AA---	AuxV
10	moci	Vf--------A----	Pred
11	Severoatlantická	AAFS1----1A----	Atr
12	aliance	NNFS1-----A----	Sb
13	rozšířit	Vf--------A----	Obj
14	do	RR--2----------	AuxP
15	východní	AAFS2----1A----	Atr
16	Evropy	NNFS2-----A----	Adv
17	ještě	Db-------------	AuxZ
18	před	RR--7----------	AuxP
19	rokem	NNIS7-----A----	Adv
20	2000	C=-------------	Atr
21	.	Z:-------------	AuxK

ln95046-057-p2s2
1	Vzhledem	RF-------------	AuxP
2	k	RR--3----------	AuxP
3	tomu	PDZS3----------	Adv
4	,	Z:-------------	AuxX
5	že	J,-------------	AuxC
6	události	NNFP1-----A----	Sb
7	v	RR--6----------	AuxP
8	Čečensku	NNNS6-----A----	Atr
9	neohrožují	VB-P---3P-NA---	Atr
10	žádné	PWFP4----------	Atr
11	další	AAFP4----1A----	Atr
12	země	NNFP4-----A----	Obj
13	s	RR--7----------	AuxP
14	výjimkou	NNFS7-----A----	AuxP
15	Ruska	NNNS2-----A----	AtrAdv
16	,	Z:-------------	AuxX
17	však	J^-------------	Coord
18	není	VB-S---3P-NA---	Obj
19	důvod	NNIS1-----A----	Sb
20	přijímání	NNNS4-----A----	Obj
21	nových	AAMP2----1A----	Atr
22	členů	NNMP2-----A----	Atr
23	do	RR--2----------	AuxP
24	NATO	NNNXX-----A---8	Atr
25	urychlit	Vf--------A----	Atr
26	,	Z:-------------	AuxX
27	řekl	VpYS---XR-AA---	Pred
28	ministr	NNMS1-----A----	Sb
29	a	J^-------------	Coord
30	dodal	VpYS---XR-AA---	Pred
31	,	Z:-------------	AuxX
32	že	J,-------------	AuxC
33	mezi	RR--7----------	AuxP
34	novými	AAMP7----1A----	Atr
35	členy	NNMP7-----A----	Adv
36	NATO	NNNXX-----A---8	Atr
37	by	Vc-------------	AuxV
38	šlo	VpNS---XR-AA---	Obj
39	"	Z:-------------	AuxG
40	v	RR--6----------	AuxP
41	první	CrFS6----------	Atr
42	řadě	NNFS6-----A----	Adv
43	"	Z:-------------	AuxG
44	o	RR--4----------	AuxP
45	Polsko	NNNS4-----A----	Obj
46	.	Z:-------------	AuxK

ln95046-057-p3s1
1	Představitelé	NNMP1-----A----	Sb
2	stran	NNFP2-----A----	Atr
3	Maďarské	AAFS2----1A----	Atr
4	koalice	NNFS2-----A----	Atr
5	,	Z:-------------	AuxX
6	zastupující	AGMP1-----A----	Atr
7	ve	RV--6----------	AuxP
8	slovenském	AAIS6----1A----	Atr
9	parlamentu	NNIS6-----A---1	Adv
10	půlmiliónovou	AAFS4----1A----	Atr
11	maďarskou	AAFS4----1A----	Atr
12	komunitu	NNFS4-----A----	Obj
13	,	Z:-------------	AuxX
14	zveřejnili	VpMP---XR-AA---	Pred
15	v	RR--6----------	AuxP
16	Bratislavě	NNFS6-----A----	Adv
17	text	NNIS4-----A----	Obj
18	dopisu	NNIS2-----A----	Atr
19	,	Z:-------------	AuxX
20	jímž	PJZS7----------	Adv
21	chtějí	VB-P---3P-AA---	Atr
22	Radu	NNFS4-----A----	Obj
23	Evropy	NNFS2-----A----	Atr
24	upozornit	Vf--------A----	Obj
25	na	RR--4----------	AuxP
26	připravovaná	AANP4----1A----	Atr
27	diskriminační	AANP4----1A----	Atr
28	opatření	NNNP4-----A----	Obj
29	slovenské	AAFS2----1A----	Atr
30	vlády	NNFS2-----A----	Atr
31	vůči	RR--3----------	AuxP
32	menšinám	NNFP3-----A----	Atr
33	.	Z:-------------	AuxK

ln95046-057-p4s1
1	Generální	AAMS1----1A----	Atr
2	tajemník	NNMS1-----A----	Atr
3	NATO	NNNXX-----A---8	Atr
4	Willy	NNMS1-----A----	Atr
5	Claes	NNMS1-----A----	Sb
6	vyloučil	VpYS---XR-AA---	Pred
7	možnost	NNFS4-----A----	Obj
8	,	Z:-------------	AuxX
9	že	J,-------------	AuxC
10	by	Vc-------------	AuxV
11	v	RR--6----------	AuxP
12	důsledku	NNIS6-----A----	AuxP
13	spojení	NNNS2-----A----	Adv
14	svého	P8ZS2----------	Atr
15	jména	NNNS2-----A----	Atr
16	s	RR--7----------	AuxP
17	úplatkářskou	AAFS7----1A----	Atr
18	aférou	NNFS7-----A----	Atr
19	italské	AAFS2----1A----	Atr
20	firmy	NNFS2-----A----	Atr
21	Agusta	NNFS1-----A----	Atr
22	odstoupil	VpYS---XR-AA---	Atr
23	.	Z:-------------	AuxK

ln95046-057-p4s2
1	Claes	NNMS1-----A----	Sb
2	včera	Db-------------	Adv
3	popřel	VpYS---XR-AA---	Pred
4	jakoukoliv	PZFS4----------	Atr
5	vinu	NNFS4-----A----	Obj
6	,	Z:-------------	AuxX
7	ale	J^-------------	Coord
8	přiznal	VpYS---XR-AA---	Pred
9	,	Z:-------------	AuxX
10	že	J,-------------	AuxC
11	se	P7-X4----------	AuxT
12	zúčastnil	VpYS---XR-AA---	Obj
13	schůzky	NNFS2-----A----	Obj
14	předáků	NNMP2-----A----	Atr
