ln94202-110-p1s1
1	Krátce	Dg-------1A----	ExD

ln94202-110-p2s1
1	Petr	NNMS1-----A----	Atr
2	Klimeš	NNMS1-----A----	Sb
3	vyhrál	VpYS---XR-AA---	Pred
4	silniční	AAIS4----1A----	Atr
5	běh	NNIS4-----A----	Obj
6	v	RR--6----------	AuxP
7	rakouském	AAIS6----1A----	Atr
8	Klosterneuburgu	NNIS6-----A----	AdvAtr
9	.	Z:-------------	AuxK

ln94202-110-p3s1
1	Mistrem	NNMS7-----A----	Obj
2	světa	NNIS2-----A----	Atr
3	profesionální	AAFS2----1A----	Atr
4	boxerské	AAFS2----1A----	Atr
5	organizace	NNFS2-----A----	Atr
6	WBC	NNFXX-----A---8	Atr
7	v	RR--6----------	AuxP
8	bantamové	AAFS6----1A----	Atr
9	váze	NNFS6-----A----	Adv
10	se	P7-X4----------	AuxT
11	stal	VpYS---XR-AA---	Pred
12	Hector	NNMS1-----A----	Atr
13	Acero	NNMS1-----A----	Atr
14	Sanchez	NNMS1-----A----	Sb
15	.	Z:-------------	AuxK

ln94202-110-p3s2
1	V	RR--6----------	AuxP
2	Atlantic	AAXXX----1A----	Atr
3	City	NNNXX-----A----	Adv
4	porazil	VpYS---XR-AA---	Pred
5	dosavadního	AAMS4----1A----	Atr
6	držitele	NNMS4-----A----	Atr
7	titulu	NNIS2-----A----	Atr
8	Tracyho	NNMS4-----A----	Atr
9	Harrise	NNMS4-----A----	Atr
10	Pattersona	NNMS4-----A----	Obj
11	na	RR--4----------	AuxP
12	body	NNIP4-----A----	Adv
13	2	C=-------------	Atr
14	:	Z:-------------	Coord
15	1	C=-------------	Atr
16	.	Z:-------------	AuxK

ln94202-110-p4s1
1	Osmadvacetiletý	AAMS1----1A----	Atr
2	mistr	NNMS1-----A----	Atr
3	světa	NNIS2-----A----	Atr
4	polotěžké	AAFS2----1A----	Atr
5	váhy	NNFS2-----A----	Atr
6	Mezinárodní	AAFS2----1A----	Atr
7	profesionální	AAFS2----1A----	Atr
8	boxerské	AAFS2----1A----	Atr
9	federace	NNFS2-----A----	Atr
10	(	Z:-------------	Apos
11	IBF	NNFXX-----A---8	Atr
12	)	Z:-------------	AuxG
13	Američan	NNMS1-----A----	Atr
14	Jake	NNMS1-----A----	Atr
15	Rodriguez	NNMS1-----A----	Sb
16	obhájil	VpYS---XR-AA---	Pred
17	v	RR--6----------	AuxP
18	Bushkillu	NNIS6-----A----	Adv
19	ve	RV--6----------	AuxP
20	státě	NNIS6-----A----	Adv
21	Pennsylvania	NNFS1-----A---1	Atr
22	svůj	P8IS4----------	Atr
23	titul	NNIS4-----A----	Obj
24	.	Z:-------------	AuxK

ln94202-110-p5s1
1	Britský	AAMS1----1A----	Atr
2	boxer	NNMS1-----A----	Atr
3	Chris	NNMS1-----A----	Atr
4	Eubank	NNMS1-----A----	Sb
5	obhájil	VpYS---XR-AA---	Pred
6	v	RR--6----------	AuxP
7	Cardiffu	NNIS6-----A----	Adv
8	podvanácté	Cv-------------	Adv
9	svůj	P8IS4----------	Atr
10	titul	NNIS4-----A----	Obj
11	mistra	NNMS2-----A----	Atr
12	světa	NNIS2-----A----	Atr
13	v	RR--6----------	AuxP
14	polotěžké	AAFS6----1A----	Atr
15	váze	NNFS6-----A----	Atr
16	Světové	AAFS2----1A----	Atr
17	boxerské	AAFS2----1A----	Atr
18	organizace	NNFS2-----A----	Atr
19	(	Z:-------------	Apos
20	WBO	NNFXX-----A---8	Atr
21	)	Z:-------------	AuxG
22	.	Z:-------------	AuxK

