ln94202-62-p1s1
1	Krátce	Dg-------1A----	ExD

ln94202-62-p2s1
1	Cílem	NNIS7-----A----	Pnom
2	USA	NNIPX-----A----	Atr
3	na	RR--6----------	AuxP
4	Kubě	NNFS6-----A----	Atr
5	je	VB-S---3P-AA---	Pred
6	pokojný	AAIS1----1A----	Atr
7	přechod	NNIS1-----A----	Sb
8	k	RR--3----------	AuxP
9	demokracii	NNFS3-----A----	Atr
10	.	Z:-------------	AuxK

ln94202-62-p2s2
1	Prohlásil	VpYS---XR-AA---	Pred
2	to	PDNS4----------	Obj
3	včera	Db-------------	Adv
4	americký	AAMS1----1A----	Atr
5	ministr	NNMS1-----A----	Atr
6	zahraničí	NNNS2-----A----	Atr
7	W	NNMXX-----A---8	Atr
8	.	Z:-------------	AuxG
9	Christopher	NNMS1-----A----	Sb
10	,	Z:-------------	AuxX
11	který	P4YS1----------	Sb
12	zároveň	Db-------------	Adv
13	řekl	VpYS---XR-AA---	Atr
14	,	Z:-------------	AuxX
15	že	J,-------------	AuxC
16	je	VB-S---3P-AA---	Obj
17	proti	RR--3----------	AuxP
18	jakýmkoli	PZXP3---------1	Atr
19	extrémním	AANP3----1A----	Atr
20	řešením	NNNP3-----A----	Adv
21	,	Z:-------------	AuxX
22	a	J^-------------	Coord
23	zdůraznil	VpYS---XR-AA---	Atr
24	,	Z:-------------	AuxX
25	že	J,-------------	AuxC
26	americká	AAFS1----1A----	Atr
27	vláda	NNFS1-----A----	Sb
28	nyní	Db-------------	Adv
29	neuvažuje	VB-S---3P-NA---	Obj
30	o	RR--6----------	AuxP
31	námořní	AAFS6----1A----	Atr
32	blokádě	NNFS6-----A----	Obj
33	Kuby	NNFS2-----A----	Atr
34	,	Z:-------------	Coord
35	což	PE--1----------	Sb
36	by	Vc-------------	AuxV
37	byl	VpYS---XR-AA---	Pred
38	akt	NNIS1-----A----	Pnom
39	války	NNFS2-----A----	Atr
40	.	Z:-------------	AuxK

ln94202-62-p3s1
1	Kubánský	AAMS1----1A----	Atr
2	prezident	NNMS1-----A----	Atr
3	F	NNMXX-----A---8	Atr
4	.	Z:-------------	AuxG
5	Castro	NNMS1-----A----	Sb
6	vydal	VpYS---XR-AA---	Pred
7	nařízení	NNNS4-----A----	Obj
8	,	Z:-------------	AuxX
9	které	P4NS1----------	Sb
10	brání	VB-S---3P-AA---	Atr
11	v	RR--6----------	AuxP
12	odjezdu	NNIS6-----A---1	Obj
13	osobám	NNFP3-----A----	Obj
14	,	Z:-------------	AuxX
15	jež	PJFP1----------	Sb
16	se	P7-X4----------	AuxT
17	pokusí	VB-P---3P-AA---	Atr
18	vycestovat	Vf--------A----	Obj
19	ze	RV--2----------	AuxP
20	země	NNFS2-----A----	Adv
21	na	RR--6----------	AuxP
22	nebezpečných	AANP6----1N----	Atr
23	plavidlech	NNNP6-----A----	Adv
24	spolu	Db-------------	AuxP
25	s	RR--7----------	AuxP
26	malými	AAFP7----1A----	Atr
