ln94208-41-p1s1
1	Krátce	Dg-------1A----	ExD

ln94208-41-p2s1
1	Fronta	NNFS1-----A----	Sb
2	čtyřiceti	Cn-P2----------	Atr
3	kamionů	NNIP2-----A----	Atr
4	,	Z:-------------	AuxX
5	dlouhá	AAFS1----1A----	Atr
6	zhruba	Db-------------	AuxZ
7	tři	ClXP4----------	Atr
8	sta	NNNP4-----A----	Adv
9	metrů	NNIP2-----A----	Atr
10	,	Z:-------------	AuxX
11	čekala	VpQW---XR-AA---	Pred
12	včera	Db-------------	Adv
13	odpoledne	Db-------------	Adv
14	na	RR--4----------	AuxP
15	odbavení	NNNS4-----A----	Obj
16	na	RR--4----------	AuxP
17	Slovensko	NNNS4-----A----	Atr
18	na	RR--6----------	AuxP
19	hraničním	AAIS6----1A----	Atr
20	přechodu	NNIS6-----A---1	Adv
21	Starý	AAIS1----1A----	Atr
22	Hrozenkov	NNIS1-----A----	Atr
23	.	Z:-------------	AuxK

ln94208-41-p2s2
1	Zpravodaji	NNMS3-----A----	Obj
2	LN	NNFPX-----A---8	Atr
3	to	PDNS4----------	Obj
4	sdělil	VpYS---XR-AA---	Pred
5	vedoucí	NNMS1-----A----	Atr
6	směny	NNFS2-----A----	Atr
7	celní	AAFS2----1A----	Atr
8	služby	NNFS2-----A----	Atr
9	P	NNMXX-----A---8	Atr
10	.	Z:-------------	AuxG
11	Jančařík	NNMS1-----A----	Sb
12	.	Z:-------------	AuxK

ln94208-41-p2s3
1	Kritická	AAFS1----1A----	Atr
2	situace	NNFS1-----A----	Sb
3	zde	Db-------------	Adv
4	vznikla	VpQW---XR-AA--1	Pred
5	1	C=-------------	Atr
6	.	Z:-------------	AuxG
7	září	NNNS2-----A----	Adv
8	,	Z:-------------	AuxX
9	tedy	Db-------------	Apos
10	hned	Db-------------	AuxZ
11	v	RR--4----------	AuxP
12	den	NNIS4-----A----	Adv
13	,	Z:-------------	AuxX
14	kdy	Db-------------	Adv
15	slovenská	AAFS1----1A----	Atr
16	Ústřední	AAFS1----1A----	Atr
17	celní	AAFS1----1A----	Atr
18	správa	NNFS1-----A----	Sb
19	zveřejnila	VpQW---XR-AA---	Atr
20	změny	NNFP4-----A----	Obj
21	v	RR--6----------	AuxP
22	hraničním	AAIS6----1A----	Atr
23	režimu	NNIS6-----A----	Atr
24	.	Z:-------------	AuxK

ln94208-41-p2s4
1	Dnes	Db-------------	Adv
2	by	Vc-------------	AuxV
3	se	P7-X4----------	AuxT
4	podle	RR--2----------	AuxP
5	jeho	PSXXXZS3-------	Atr
6	slov	NNNP2-----A----	Adv
7	měla	VpQW---XR-AA---	Pred
8	odbavovací	AAFS1----1A----	Atr
9	doba	NNFS1-----A----	Sb
10	pohybovat	Vf--------A----	Obj
11	kolem	RR--2----------	AuxP
12	8	C=-------------	Atr
13	hodin	NNFP2-----A----	Adv
14	.	Z:-------------	AuxK

ln94208-41-p3s1
1	Památku	NNFS4-----A----	Obj
2	65	C=-------------	Atr
3	horníků	NNMP2-----A----	Atr
4	,	Z:-------------	AuxX
5	kteří	P4MP1----------	Sb
6	3	C=-------------	Atr
7	.	Z:-------------	AuxG
8	9	C=-------------	Adv
9	.	Z:-------------	AuxG
10	1981	C=-------------	Atr
11	zahynuli	VpMP---XR-AA---	Atr
12	při	RR--6----------	AuxP
13	neštěstí	NNNS6-----A----	Adv
14	na	RR--6----------	AuxP
15	tehdejším	AAIS6----1A----	Atr
16	hlubinném	AAIS6----1A----	Atr
17	Dole	NNIS6-----A----	Atr
18	Pluto	NNNS1-----A----	Atr
19	v	RR--6----------	AuxP
20	Louce	NNFS6-----A----	Atr
21	u	RR--2----------	AuxP
22	Litvínova	NNIS2-----A----	Atr
23	,	Z:-------------	AuxX
24	uctili	VpMP---XR-AA---	Pred
25	v	RR--4----------	AuxP
26	sobotu	NNFS4-----A----	Adv
27	v	RR--6----------	AuxP
28	Litvínově	NNIS6-----A----	Adv
29	pozůstalí	AAMP1----1A----	Sb
30	a	J^-------------	Coord
31	havíři	NNMP1-----A----	Sb
32	z	RR--2----------	AuxP
33	okolních	AAIP2----1A----	Atr
34	dolů	NNIP2-----A----	Atr
35	.	Z:-------------	AuxK

