ln94209-88-p1s1
1	Krátce	Dg-------1A----	ExD

ln94209-88-p2s1
1	Italský	AAMS1----1A----	Atr
2	cyklista	NNMS1-----A----	Atr
3	Gianni	NNMS1-----A----	Atr
4	Bugno	NNMS1-----A----	Sb
5	byl	VpYS---XR-AA---	AuxV
6	potrestán	VsYS---XX-AP---	Pred
7	dvouletým	AAIS7----1A----	Atr
8	zákazem	NNIS7-----A----	Adv
9	činnosti	NNFS2-----A----	Atr
10	za	RR--4----------	AuxP
11	pozitivní	AAIS4----1A----	Atr
12	dopingový	AAIS4----1A----	Atr
13	nález	NNIS4-----A----	Adv
14	.	Z:-------------	AuxK

ln94209-88-p2s2
1	Dvojnásobnému	AAMS3----1A----	Atr
2	mistru	NNMS3-----A---1	Obj
3	světa	NNIS2-----A----	Atr
4	byl	VpYS---XR-AA---	AuxV
5	i	J^-------------	AuxZ
6	při	RR--6----------	AuxP
7	druhém	CrIS6----------	Atr
8	testu	NNIS6-----A----	Adv
9	prokázán	VsYS---XX-AP---	Pred
10	v	RR--6----------	AuxP
11	moči	NNFS6-----A----	Adv
12	kofein	NNIS1-----A----	Sb
13	.	Z:-------------	AuxK

ln94209-88-p3s1
1	Pakosta	NNMS1-----A----	Sb
2	a	J^-------------	Coord
3	Palinek	NNMS1-----A----	Sb
4	skončili	VpMP---XR-AA---	Pred
5	na	RR--6----------	AuxP
6	turnaji	NNIS6-----A----	Adv
7	Světové	AAFS2----1A----	Atr
8	série	NNFS2-----A----	Atr
9	v	RR--6----------	AuxP
10	plážovém	AAIS6----1A----	Atr
11	volejbalu	NNIS6-----A---1	Atr
12	v	RR--6----------	AuxP
13	Brazílii	NNFS6-----A----	Atr
14	na	RR--6----------	AuxP
15	9	C=-------------	Atr
16	.	Z:-------------	AuxG
17	-	Z:-------------	Coord
18	12	C=-------------	Atr
19	.	Z:-------------	AuxG
20	místě	NNNS6-----A----	Adv
21	,	Z:-------------	AuxX
22	když	J,-------------	AuxC
23	v	RR--6----------	AuxP
24	posledním	AAIS6----1A----	Atr
25	zápase	NNIS6-----A----	Adv
26	prohráli	VpMP---XR-AA---	Adv
27	s	RR--7----------	AuxP
28	domácím	AAIS7----1A----	Atr
29	párem	NNIS7-----A----	Obj
30	Moreira	NNMS1-----A----	Atr
31	,	Z:-------------	Coord
32	Garrido	NNMS1-----A----	Atr
33	10	C=-------------	Adv
34	:	Z:-------------	Coord
35	15	C=-------------	Adv
36	.	Z:-------------	AuxK

ln94209-88-p3s2
1	Prvenství	NNNS4-----A----	Obj
2	vybojovali	VpMP---XR-AA---	Pred
3	další	AAMP1----1A----	Atr
4	Brazilci	NNMP1-----A----	Atr
5	Franco	NNMS1-----A----	Sb
6	a	J^-------------	Coord
7	da	RR--X----------	Atr
8	Costa	NNMS1-----A----	Sb
9	.	Z:-------------	AuxK

